"HR","Name","Vmag","IRflag","RA1900","DE1900","RA","DE","GLON","GLAT","""B-V""","""U-B""","pmRA","pmDE","RadVel"
1,"",6.7,"",0.000305555555555556,44.6727777777778,0.0860833333333333,45.2291666666667,114.44,-16.88,0.07,0.08,-0.012,-0.018,-18
2,"",6.29,"",23.9989444444444,-0.941666666666667,0.0843888888888889,0.503055555555556,98.33,-61.14,1.1,1.02,0.045,-0.06,14
3,"33    Psc",4.61,"I",0.00361111111111111,-5.73305555555556,0.0889166666666667,-4.2925,93.75,-65.93,1.04,0.89,-0.009,0.089,-6
4,"86    Peg",5.51,"",0.00938888888888889,12.8397222222222,0.095,13.3961111111111,106.19,-47.98,0.9,NA,0.045,-0.012,-2
5,"",5.96,"",0.0171666666666667,57.8791666666667,0.104444444444444,58.4366666666667,117.03,-3.92,0.67,0.2,0.263,0.03,-12
6,"",5.7,"",0.019,-48.3691666666667,0.105277777777778,-48.925,321.61,-66.38,0.52,0.05,0.565,-0.038,3
7,"10    Cas",5.59,"",0.0206666666666667,63.6394444444444,0.107361111111111,64.1961111111111,118.06,1.75,-0.03,-0.19,0.008,0,0
8,"",6.13,"",0.0236666666666667,28.4697222222222,0.110222222222222,29.0213888888889,111.26,-32.83,0.75,0.33,0.38,-0.182,-8
9,"",6.18,"",0.0286111111111111,-22.3369444444444,0.113916666666667,-22.8925,52.21,-79.14,0.38,0.05,0.1,-0.045,3
10,"",6.19,"",0.0366111111111111,-16.0558333333333,0.121722222222222,-16.6136111111111,74.36,-75.9,0.14,0.1,-0.018,0.036,-9
11,"",6.43,"",0.0435277777777778,-2.89444444444444,0.128916666666667,-1.45111111111111,98.02,-63.29,-0.14,-0.47,0.027,-0.002,13
12,"",5.94,"",0.0445277777777778,-22.9355555555556,0.129666666666667,-21.4911111111111,55.56,-79.07,0.14,0.06,0.052,-0.044,-13
13,"",5.68,"",0.0496111111111111,-33.9138888888889,0.134305555555556,-32.4705555555556,355.91,-78.67,1.12,NA,-0.037,0,7
14,"",6.07,"I",0.0513333333333333,-2.99583333333333,0.136694444444444,-1.55222222222222,98.34,-63.24,1.38,1.14,0.009,-0.003,1
15,"21Alp And",2.06,"I",0.0536111111111111,28.5383333333333,0.139805555555556,29.0905555555556,111.73,-32.84,-0.11,-0.46,0.136,-0.163,-12
16,"",5.99,"",0.0530277777777778,-8.62027777777778,0.138166666666667,-7.17611111111111,91.79,-69.04,1.04,0.83,-0.052,-0.033,20
17,"",6.19,"",0.0588611111111111,36.0738888888889,0.144722222222222,36.6266666666667,113.45,-25.45,0.48,-0.09,-0.1,-0.145,-14
18,"",6.06,"I",0.0575277777777778,-17.8663888888889,0.142611111111111,-16.4225,74.69,-76.25,1.67,1.97,0,-0.025,-17
19,"",6.23,"",0.0617222222222222,24.9052777777778,0.147833333333333,25.4627777777778,110.97,-36.42,0.97,0.73,0.114,0.031,15
20,"",6.01,"",0.0634722222222222,79.1591666666667,0.155611111111111,79.7147222222222,120.98,17,0.19,0.1,0.102,-0.027,1
21,"11Bet Cas",2.27,"I",0.0639444444444444,58.5983333333333,0.152972222222222,59.1497222222222,117.52,-3.27,0.34,0.11,0.525,-0.181,12
22,"87    Peg",5.53,"",0.0646666666666667,17.6561111111111,0.150666666666667,18.2119444444444,108.99,-43.51,1.04,NA,0.137,-0.024,-23
23,"",6.33,"",0.0665833333333333,-53.4408333333333,0.150666666666667,-53.9980555555556,316.25,-62.02,0.74,0.39,0.051,0.016,1
24,"Kap1Scl",5.42,"",0.0708888888888889,-27.4555555555556,0.155833333333333,-26.0122222222222,25.24,-80.63,0.42,0.08,0.072,-0.004,9
25,"Eps Phe",3.88,"",0.0722777777777778,-45.7008333333333,0.156861111111111,-44.2525,324.34,-69.6,1.03,0.84,0.124,-0.181,-9
26,"34    Psc",5.51,"",0.0816111111111111,10.5891666666667,0.167305555555556,11.1455555555556,106.87,-50.43,-0.07,-0.24,0.041,-0.003,14
27,"22    And",5.03,"",0.0853333333333333,45.5158333333333,0.172027777777778,46.0722222222222,115.52,-16.21,0.4,0.25,0.008,0,-5
28,"",6.74,"",0.0875,56.6088888888889,0.174916666666667,57.1655555555556,117.38,-5.26,-0.08,-0.41,0.023,0.006,2
29,"",5.84,"",0.0865555555555556,-4.19583333333333,0.171888888888889,-4.75138888888889,96.99,-66.03,0.98,0.74,0.036,-0.033,24
30,"Gam3Oct",5.28,"",0.0917777777777778,-81.22,0.16725,-81.7761111111111,304.63,-34.77,1.05,0.92,-0.029,-0.02,15
31,"",5.85,"",0.0931944444444444,-12.8647222222222,0.178555555555556,-11.42,87.69,-72.6,1.01,0.8,0.15,-0.038,6
32,"",6.64,"",0.0956666666666667,-72.2186111111111,0.177388888888889,-72.7755555555556,306.98,-43.58,0.37,0.06,0.123,0.016,-14
33,"6    Cet",4.89,"",0.102916666666667,-15.9830555555556,0.18775,-14.5319444444444,82.24,-75.06,0.49,-0.03,-0.077,-0.268,14
34,"Kap2Scl",5.41,"I",0.108277777777778,-27.6433333333333,0.192888888888889,-26.2002777777778,26.3,-81.13,1.34,1.46,0.01,0.016,-6
35,"The Scl",5.25,"",0.110833333333333,-34.3072222222222,0.195555555555556,-34.8669444444444,347.16,-78.34,0.44,NA,0.173,0.119,-2
36,"",6.16,"I",0.112527777777778,47.5958333333333,0.19975,48.1525,116.16,-14.2,1.45,NA,0.058,0.017,16
37,"",5.25,"I",0.117777777777778,-17.5061111111111,0.202777777777778,-16.0616666666667,76.32,-77.1,1.48,1.63,0.056,-0.031,-8
